cml_id;isSublink;nRecords;nNAs;timeOfFirstAvailValue;timeOfLastAvailValue;band;frequency;polarisation;site_0_lon;site_0_lat ;site_1_lon;site_1_lat;length;id1;id2;isPairingUnique;nRecords
10082_344625_3166;TRUE;426045;43200;13.01.2021 14:05;26.04.2021 8:21;38;37940;vertical;14.466215;50.098488;14.468414;50.09828;160;10082_344625;3166;TRUE;NA
10082_344625_3166;TRUE;426045;43200;13.01.2021 14:05;05.11.2021 10:49;38;39200;vertical;14.466215;50.098488;14.468414;50.09828;160;10082_344625;3166;TRUE;NA
10084_11002_3167;TRUE;426044;16;13.01.2021 14:05;05.11.2021 10:48;32;32452;vertical;14.426289;50.080154;14.424026;50.080235;160;10084_11002;3167;TRUE;NA
10084_11002_3167;TRUE;426044;13;13.01.2021 14:05;05.11.2021 10:48;32;33264;vertical;14.426289;50.080154;14.424026;50.080235;160;10084_11002;3167;TRUE;NA
10088_11161_3168;TRUE;426045;13;13.01.2021 14:05;05.11.2021 10:49;38;37236.5;vertical;14.435833;50.07799;14.433294;50.07769;180;10088_11161;3168;TRUE;NA
10088_11161_3168;TRUE;426045;19;13.01.2021 14:05;05.11.2021 10:49;38;38496.5;vertical;14.435833;50.07799;14.433294;50.07769;180;10088_11161;3168;TRUE;NA
10099_11567_3169;TRUE;426044;43200;13.01.2021 14:05;19.01.2021 9:10;26;25098.5;vertical;14.398023;50.087162;14.419126;50.09194;1600;10099_11567;3169;TRUE;NA
10099_11567_3169;TRUE;426044;43200;13.01.2021 14:05;19.01.2021 9:10;26;26106.5;vertical;14.398023;50.087162;14.419126;50.09194;1600;10099_11567;3169;TRUE;NA
10099_307067_3170;TRUE;426044;39;13.01.2021 14:05;05.11.2021 10:48;32;32508;vertical;14.419126;50.09194;14.419218;50.08904;320;10099_307067;3170;TRUE;NA
10099_307067_3170;TRUE;426044;19;13.01.2021 14:05;05.11.2021 10:48;32;33320;vertical;14.419126;50.09194;14.419218;50.08904;320;10099_307067;3170;TRUE;NA
10099_331246_3171;TRUE;426044;34;13.01.2021 14:05;12.08.2021 8:51;26;24871;vertical;14.408155;50.09183;14.419126;50.09194;780;10099_331246;3171;TRUE;NA
10099_331246_3171;TRUE;426044;35;13.01.2021 14:05;12.08.2021 8:51;26;25879;vertical;14.408155;50.09183;14.419126;50.09194;780;10099_331246;3171;TRUE;NA
10107_11945_3172;TRUE;426044;36;13.01.2021 14:05;05.11.2021 10:48;23;22211;vertical;14.61254;49.97085;14.477123;49.970158;9700;10107_11945;3172;TRUE;NA
10107_11945_3172;TRUE;426044;34;13.01.2021 14:05;05.11.2021 10:48;23;23219;vertical;14.61254;49.97085;14.477123;49.970158;9700;10107_11945;3172;TRUE;NA
10107_12978_3173;TRUE;426044;26;13.01.2021 14:05;05.11.2021 10:48;10;10300;vertical;14.477123;49.970158;14.487695;49.98539;1860;10107_12978;3173;TRUE;NA
10107_12978_3173;TRUE;426044;119;13.01.2021 14:05;05.11.2021 10:48;10;10500;vertical;14.477123;49.970158;14.487695;49.98539;1860;10107_12978;3173;TRUE;NA
10107_13167_3174;TRUE;426044;34;13.01.2021 14:05;05.11.2021 10:48;23;22267;vertical;14.477123;49.970158;14.513455;49.9411;4150;10107_13167;3174;TRUE;NA
10107_13167_3174;TRUE;426044;17;13.01.2021 14:05;05.11.2021 10:48;23;23275;vertical;14.477123;49.970158;14.513455;49.9411;4150;10107_13167;3174;TRUE;NA
10107_320159_3175;TRUE;426044;57;13.01.2021 14:05;05.11.2021 10:48;23;22470;vertical;14.477123;49.970158;14.530872;49.954617;4220;10107_320159;3175;TRUE;NA
10107_320159_3175;TRUE;426044;107;13.01.2021 14:05;05.11.2021 10:48;23;23478;vertical;14.477123;49.970158;14.530872;49.954617;4220;10107_320159;3175;TRUE;NA
10109_10199_2249;TRUE;313589;5;01.04.2021 16:20;05.11.2021 10:48;80;75500;vertical;14.424347;50.038654;14.422954;50.04302;500;10109_10199;2249;TRUE;NA
10109_10199_2249;TRUE;313589;8;01.04.2021 16:20;05.11.2021 10:48;80;85500;vertical;14.424347;50.038654;14.422954;50.04302;500;10109_10199;2249;TRUE;NA
10115_12180_3176;TRUE;426044;25;13.01.2021 14:05;05.11.2021 10:48;38;37681;vertical;14.400695;50.014;14.409166;49.999493;1730;10115_12180;3176;TRUE;NA
10115_12180_3176;TRUE;426044;22;13.01.2021 14:05;05.11.2021 10:48;38;38941;vertical;14.400695;50.014;14.409166;49.999493;1730;10115_12180;3176;TRUE;NA
